"","Park","EcoSite","EventYear","Plot","EventPanel","Transect","Quadrat","rownumber","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","simpson","shannon","invD"
"1","WACA","P",2014,"P01","A","A","1",1,3,6,4.28660704987056,NA,NA,0.0856829891679176,0.200539748470558,1.09371256156543
"2","WACA","P",2014,"P01","A","A","2",2,6,21,13.4562784071759,NA,NA,0.183436815193572,0.419872188729986,1.22464497372246
"3","WACA","P",2014,"P01","A","A","3",3,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"4","WACA","P",2014,"P01","A","A","4",4,6,21,13.4562784071759,NA,NA,0.748299319727891,1.50872860695652,3.97297297297297
"5","WACA","P",2014,"P01","A","A","5",5,11,66,34.8179790721212,NA,NA,0.828402366863905,2.01764767470975,5.82758620689655
"6","WACA","P",2014,"P01","A","C","1",6,14,105,50.5077551801041,NA,NA,0.64310669174953,1.59280625754613,2.8019578313253
"7","WACA","P",2014,"P01","A","C","2",7,13,91,45.0642398613991,NA,NA,0.686980609418283,1.68712860299298,3.19469026548673
"8","WACA","P",2014,"P01","A","C","3",8,9,45,25.4911749434976,NA,NA,0.802083333333333,1.8342342284269,5.05263157894737
"9","WACA","P",2014,"P01","A","C","4",9,4,10,6.97137002317335,NA,NA,0.518518518518519,1.00271826451752,2.07692307692308
"10","WACA","P",2014,"P01","A","C","5",10,12,78,39.8313753407846,NA,NA,0.841983852364475,2.08136412108953,6.32846715328467
"11","WACA","P",2016,"P01","A","A","1",11,6,21,13.4562784071759,NA,NA,0.0748520710059172,0.210236299165797,1.08090821874001
"12","WACA","P",2016,"P01","A","A","2",12,11,66,34.8179790721212,NA,NA,0.201497016383847,0.494277110629127,1.2523434733723
"13","WACA","P",2016,"P01","A","A","3",13,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"14","WACA","P",2016,"P01","A","A","4",14,6,21,13.4562784071759,NA,NA,0.703125,1.42876912031874,3.36842105263158
"15","WACA","P",2016,"P01","A","A","5",15,11,66,34.8179790721212,NA,NA,0.8203125,2.10067892127926,5.56521739130435
"16","WACA","P",2016,"P01","A","C","1",16,15,120,56.1540848914841,NA,NA,0.654040583837665,1.6552135410575,2.89051245112163
"17","WACA","P",2016,"P01","A","C","2",17,14,105,50.5077551801041,NA,NA,0.555726573110005,1.2200625778433,2.25086610963929
"18","WACA","P",2016,"P01","A","C","3",18,9,45,25.4911749434976,NA,NA,0.796296296296296,1.77315084666137,4.90909090909091
